competencia,valor,multa,total
mar,197.61,207.49
fev,219.18,243.29
jan,146.12,162.92
dez,146.12,163.65
nov,146.12,164.38
out,146.11,165.10
set,146.12,165.85
ago,146.12,166.58
,,,1439.2707999999998
